stkcd,名稱,change_type,eff_date,remarks,event_type,ann_date
600017,日照港,加入,2014-11-17,首張可買入及賣出股票名單,In,
600016,民生銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
600015,華夏銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
600012,皖通高速,加入,2014-11-17,首張可買入及賣出股票名單,In,
600011,華能國際,加入,2014-11-17,首張可買入及賣出股票名單,In,
600010,包鋼股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600009,上海機場,加入,2014-11-17,首張可買入及賣出股票名單,In,
600008,首創股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600007,中國國貿,加入,2014-11-17,首張可買入及賣出股票名單,In,
600005,武鋼股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600004,白雲機場,加入,2014-11-17,首張可買入及賣出股票名單,In,
600000,浦發銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
600050,中國聯通,加入,2014-11-17,首張可買入及賣出股票名單,In,
600115,東方航空,加入,2014-11-17,首張可買入及賣出股票名單,In,
600054,黃山旅遊,加入,2014-11-17,首張可買入及賣出股票名單,In,
600058,五礦發展,加入,2014-11-17,首張可買入及賣出股票名單,In,
600112,天成控股,加入,2014-11-17,首張可買入及賣出股票名單,In,
600111,包鋼稀土,加入,2014-11-17,首張可買入及賣出股票名單,In,
600110,中科英華,加入,2014-11-17,首張可買入及賣出股票名單,In,
600109,國金證券,加入,2014-11-17,首張可買入及賣出股票名單,In,
600108,亞盛集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600106,重慶路橋,加入,2014-11-17,首張可買入及賣出股票名單,In,
600104,上汽集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600101,明星電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600100,同方股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600098,廣州發展,加入,2014-11-17,首張可買入及賣出股票名單,In,
600097,開創國際,加入,2014-11-17,首張可買入及賣出股票名單,In,
600096,雲天化,加入,2014-11-17,首張可買入及賣出股票名單,In,
600094,大名城,加入,2014-11-17,首張可買入及賣出股票名單,In,
600089,特變電工,加入,2014-11-17,首張可買入及賣出股票名單,In,
600088,中視傳媒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600085,同仁堂,加入,2014-11-17,首張可買入及賣出股票名單,In,
600082,海泰發展,加入,2014-11-17,首張可買入及賣出股票名單,In,
600081,東風科技,加入,2014-11-17,首張可買入及賣出股票名單,In,
600080,金花股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600079,人福醫藥,加入,2014-11-17,首張可買入及賣出股票名單,In,
